32,32,32,32,27,7 ,7 ,7 ,25,30,30,30,30,30,30
32,32,32,27,27,7 ,7 ,7 ,25,15,30,30,30,30,30
32,32,12,12,7 ,7 ,7 ,7 ,2 ,15,13,30,30,30,30
32,16,16,7 ,7 ,7 ,7 ,7 ,2 ,2 ,13,17,30,30,30
14,14,3 ,3 ,3 ,3 ,1 ,7 ,2 ,2 ,1 ,17,8 ,30,30
6 ,6 ,6 ,6 ,6 ,1 ,1 ,1 ,2 ,2 ,1 ,8 ,8 ,30,30
1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,8 ,8 ,30,30
9 ,9 ,9 ,9 ,9 ,1 ,1 ,1 ,8 ,8 ,8 ,8 ,8 ,30,30
26,26,5 ,5 ,5 ,5 ,1 ,4 ,4 ,4 ,11,18,18,30,30
31,20,20,1 ,1 ,1 ,1 ,1 ,1 ,11,11,10,10,21,30
31,31,23,23,1 ,1 ,1 ,1 ,1 ,1 ,22,10,10,21,21
31,31,31,19,19,1 ,1 ,1 ,29,10,10,10,10,10,10
31,31,31,31,1 ,1 ,1 ,1 ,10,10,10,10,10,10,28
31,31,31,31,31,31,31,31,31,24,24,10,10,28,28
31,31,31,31,31,31,31,31,31,31,24,24,28,28,33
